FactionTag,PlayerName,GridName,NumberOfSubGrids,TotalBlocks,X,Y,Z,Server
JMC,Idiot,JMC - Mining Depo,30,1438,-1313012.2652378,-256193.349580734,-2759914.18188262,TDRAC02
KTZ,BrickOnKeyboard,Bootstraps Bootstrapping 17,6,145,-165278.489605644,-1838924.62345585,-2688113.42006902,TDRAC02
UFO,Saros,The Doom Star,16,1688,153632.199897434,-2526746.91454303,-2793721.26901904,TDRAC02
KTZ,BrickOnKeyboard,Bootstraps Bootstrapping,12,136,-154017.238936482,-1895860.77290969,-2682376.47995005,TDRAC02
SAS,NaNo BuM,cheap build,4,108,-154931.241558769,-1823511.26383671,-2686551.22036199,TDRAC02
RUC,f00,shiut,1,21,-287586.418309032,-2178998.18280666,-2819832.66293591,TDRAC02
\_/,Judaes,AltRocket,1,40,-360411.197304117,-2114230.52708351,-2535685.26941101,TDRAC02
RUC,f00,26s,1,33,-284706.643848428,-2257233.70346614,-2835592.25844891,TDRAC02
RUC,Zikofski,Small Shuttle,2,44,-205146.36312105,-2185901.62386037,-2841569.87918518,TDRAC02
RUC,f00,f00 Alpha Space,1,25,334976.206764283,-2029063.96494648,-3704305.7048346,TDRAC02
FPRI,Floaty Potato Research Institute,PAIOS - Station,5,7301,361293.029625426,-1572233.12007387,-2699957.64595844,TDRAC02
TML,TAINT_NLD,TML Yellow Sub,1,131,-875910.418194595,-1633719.02977239,-2079633.12095807,TDRAC02
INV,Dipoblo,SCRAPER,1,107,-283466.360292877,-2173109.73141504,-2808307.30863438,TDRAC02
RUC,Zikofski,Zikofski Boat,1,269,4140.70301264328,-1980375.57554853,-2829503.92170291,TDRAC02
UFO,Saros,Saros Turtle Welder,1,328,153595.562366154,-2526814.90966403,-2793740.90943233,TDRAC02
RUC,f00,f00 Asteroid,4,109,-285045.952578033,-2171435.73190332,-2824575.56400547,TDRAC02
JMC,Idiot,PAM 1,1,93,-1313083.22792565,-256117.766089385,-2759961.46880847,TDRAC02
ABN,jobs,Shuttle 3,1,56,-317128.748454065,-1966728.31744577,-2904977.17291308,TDRAC02
AIDR,Unknown,Wraith's Wrath,1,170,-32051.3466204549,-2277362.61848162,-2684839.65172609,TDRAC02
RUC,Zikofski,Zikofski Base Sub-1833 04 Sub-1742 01 01 01 03,1,28,-295187.039072234,-2249864.54356608,-2751222.70458863,TDRAC02
RPI,Enogma,Sneeze Orbital Base,1,29,-1047105.90413922,-1705135.32989744,-1954689.63387297,TDRAC02
ERG,Anuokan,The Kraken 01,1,21,338674.181861317,-1567772.12140228,-2703198.64650469,TDRAC02
PCH,Sarah Lilac,Latte Caverns,2,34,-719676.730183068,-2411274.00834829,-2087046.50471498,TDRAC02
XTS,XTerm1986,XTS Zulu base EMG Backup,1,69,-1311072.45987468,-260132.837190917,-2758845.89369963,TDRAC02
RUC,f00,f00 Shuttle,1,26,-286591.753115142,-2172157.07858301,-2822625.0190836,TDRAC02
ERG,永,SP-Asteroid-Base Sub-9074,1,28,-314262.321718658,-2199931.43014551,-2798072.56205235,TDRAC02
RUC,f00,ICE,1,43,-281325.9261394,-2173765.49252554,-2818425.33833758,TDRAC02
ERG,永,SP-Miner-3 06,1,72,-341459.489857758,-2222857.79769425,-2753964.59331079,TDRAC02
ERG,永,SP-Miner-3 05,1,65,-342179.353143983,-2222477.21175839,-2755985.66753375,TDRAC02
IMG,atkron811,cargo bob,4,82,-357246.86118743,-2143113.66471036,-2631483.6133481,TDRAC02
RUC,f00,Ref,2,26,-285895.965029205,-2170356.13424707,-2822298.67240391,TDRAC02
MPS,Km88,Km88 Space station,2,30,-307322.258048597,-2253088.79842327,-2892022.8515654,TDRAC02
UFO,[STK] bigsteve,Basic Baseship,4,717,199289.612749632,-2534215.85764285,-2832349.40525769,TDRAC02
ERG,Anuokan,[original] The Kraken,3,874,-1312806.24421441,-255232.311621612,-2755599.86659748,TDRAC02
ERG,Kittamaru,Warhead - SG Railgun 01 01 02 01 01 01,1,37,180073.198582132,-2957297.89175058,-3799594.8793799,TDRAC02
ERG,Kittamaru,Warhead - SG Railgun 01 01,1,37,204543.270847757,-2962800.7940104,-3798225.10203615,TDRAC02
ERG,Kittamaru,Warhead - SG Railgun 01 01 02 01 01,1,37,262706.468113382,-2941019.55328775,-3823618.88816897,TDRAC02
ERG,rusmig29,Asian Giant Hornet Mk2 05,1,93,219762.804539163,-2920951.07477212,-3814814.20848147,TDRAC02
KTZ,BrickOnKeyboard,miner thingy Sub-6772 01,1,49,-165282.446636894,-1838952.8226746,-2688113.34438542,TDRAC02
ERG,永,SP-Asteroid-Base Sub-1659 01 02,1,31,-324385.906715106,-2193856.4785435,-2767448.65859865,TDRAC02
RUC,f00,f00 00B,1,22,-289475.331123985,-2219408.61162712,-2736933.84512297,TDRAC02
ABN,jobs,f00 JT,1,26,-316464.579325647,-1948239.79693796,-2882635.82525683,TDRAC02
RUC,f00,ZGM,1,39,-270875.737049647,-2154346.15038352,-2857833.70405221,TDRAC02
ERG,Kittamaru,Rail Cruiser Sub-4650 01 01 01 01 01,1,45,199259.545423885,-2917262.95110714,-3370020.50408884,TDRAC02
ERG,Kittamaru,Rail Cruiser Sub-4650 01 01 01 01,1,45,189696.93800201,-2914640.71966182,-3388338.34027048,TDRAC02
ERG,Kittamaru,Railgun Slug - SpaceBall + Warhead 01 01,1,55,198029.025404354,-2927569.16204464,-3344138.71527048,TDRAC02
ERG,Kittamaru,Rail Cruiser Sub-4650 01 01 01 01 01 01 01,1,60,254403.931872756,-2958000.68167422,-3274496.93039219,TDRAC02
ERG,Kittamaru,Railgun Slug - SpaceBall + Warhead 01,1,60,192200.440443416,-2927221.62591182,-3357029.12737986,TDRAC02
ERG,Kittamaru,Rail Cruiser Sub-4650 01 01 01 01 01 01,1,60,207199.784681698,-2919560.51751339,-3354645.86077829,TDRAC02
UpO,Cornellius,Cornell's Ride 3.?,8,364,-170322.47642205,-1832847.3070496,-2692271.66005925,TDRAC02
ERG,rusmig29,ERG Operational ROID 02,1,96,250113.750449988,-2984188.75244286,-3805463.74927821,TDRAC02
ERG,Anuokan,base,1,39,-1312808.6509734,-255257.850003484,-2755613.17987656,TDRAC02
XTS,Bob,XTS Zulu base  07,1,75,-1311100.99100684,-260167.075899094,-2758799.15849853,TDRAC02
XTS,XTerm1986,XTS SG Ion Welder,1,62,-1311014.17669427,-260161.492041534,-2758799.2715047,TDRAC02
HEL,Roxxarum,REEEEereee,1,86,-371656.946799128,-1904457.67076161,-2907956.68960766,TDRAC02
XTS,Bob,Welder 2,1,60,-1311011.91814935,-260158.104346221,-2758803.28993732,TDRAC02
RUC,Twisted0ne,Asteroid Base Twisted0ne,3,99,-283143.74457022,-2167938.75143457,-2817311.24857579,TDRAC02
RUC,Zikofski,Zikofski Base,5,176,-291804.126650299,-2175289.21139551,-2828326.1987711,TDRAC02
ERG,Furaites,Furry Platform,1,27,-153789.09276588,-1809390.41000655,-2762381.68562282,TDRAC02
ERG,Dr. Tesla,Station,2,237,-265328.058046783,-2187511.42526269,-2818168.23734532,TDRAC02
XTS,4lex,Shuttle,1,26,-1311222.59942376,-260199.827979034,-2758911.78108722,TDRAC02
WLYC,Spaceman Spiff,WLYC-Remote-Station-Psi,9,558,-266329.181093658,-2171741.93502832,-2816526.07230626,TDRAC02
